349	Bart Simpson	Hi, honey. Uh, oh. How's the marriage retreat going?
350	Bart Simpson	To who?
352	Bart Simpson	To those weirdos in the worm store.
354	Grampa Simpson	All this fish represents is just how selfish you are.
355	Nelson Muntz	Well, if that's the way you feel... I'll throw it back.
356	Grampa Simpson	Oh yeah, sure.
357	Nelson Muntz	Watch.
358	Grampa Simpson	Ohhh, Homer.
359	Nelson Muntz	We're back!
360	Grampa Simpson	How's your marriage?
361	Homer Simpson	Same as usual. Perfectomundo.
367	Bart Simpson	I'll never trust another old person.
370	Homer Simpson	I fooled you. So long suckers. Hee hee hee.
371	Homer Simpson	Hey, they do look alike!
376	Homer Simpson	He's no wittier than the next superhero.
377	Marge Simpson	I stand corrected.
378	Homer Simpson	We're here!
379	Marge Simpson	This looks like a discount for...
384	Lisa Simpson	Hey, Otto-man! Oooh, what's that?
385	Homer Simpson	Cool!
390	Grampa Simpson	Yep.
402	Marge Simpson	I bet it's worth a million bucks!
406	Lisa Simpson	So, did you kids have fun?
407	Marge Simpson	Ohhh.
410	Bart Simpson	All right, what are you getting at?
420	Bart Simpson	Are you?
423	Bart Simpson	Okay.
425	Bart Simpson	Haw haw!
429	Bart Simpson	Uh... nothing.
448	Bart Simpson	I NEED SOME MONEY / A LOT OF MONEY... AHH
450	Bart Simpson	Empty bottles... empty bottles...
454	Marge Simpson	Hm... well, it's practically empty.
458	Marge Simpson	No, not today. I need the dime.
461	Homer Simpson	Oh, it is good to see you are learning a trade.
462	Bart Simpson	Ah-ha!
465	Homer Simpson	Americanize this, my good man.
466	Bart Simpson	All those coins were only worth three lousy cents?
467	Homer Simpson	Oh, this is so humiliating... I feel like such a geek.
468	Bart Simpson	How's it going, Bart?
469	Homer Simpson	Ah ha, now you look pathetic.
471	Homer Simpson	Beat it.
472	Bart Simpson	Ugh, my dog ate it.
473	Homer Simpson	So long, officers. Uh-oh.
